"VBIS Classification","2021-06-16",,,,"Brick Equipment Classes",,,,,,
"Level 1","Level 2","Level 3","Level 4",,,,,,,,
"Audio-Visual","Documents","Contract","Letter of Offer","AV-Doc-Co-LOO",,,,,,,
"Audio-Visual","Documents","Contract","Letter of Intent","AV-Doc-Co-LOI",,,,,,,
"Audio-Visual","Documents","Contract","Attachment","AV-Doc-Co-At",,,,,,,
"Audio-Visual","Documents","Contract","Addendum","AV-Doc-Co-Ad",,,,,,,
"Audio-Visual","Documents","Contract","Novation","AV-Doc-Co-No",,,,,,,
"Audio-Visual","Documents","Contract","Variation","AV-Doc-Co-Va",,,,,,,
"Audio-Visual","Documents","Drawing",,"AV-Doc-Dr",,,,,,,
"Audio-Visual","Documents","Drawing","Cover Sheet","AV-Doc-Dr-CS",,,,,,,
"Audio-Visual","Documents","Drawing","Legend","AV-Doc-Dr-Le",,,,,,,
"Audio-Visual","Documents","Drawing","Plan","AV-Doc-Dr-Pl",,,,,,,
"Audio-Visual","Documents","Drawing","Elevations","AV-Doc-Dr-El",,,,,,,
"Audio-Visual","Documents","Drawing","Details","AV-Doc-Dr-De",,,,,,,
"Audio-Visual","Documents","Drawing","Schematic","AV-Doc-Dr-Sc",,,,,,,
"Audio-Visual","Documents","Letter",,"AV-Doc-Le",,,,,,,
"Audio-Visual","Documents","Management System",,"AV-Doc-MS",,,,,,,
"Audio-Visual","Documents","Management System","Plan","AV-Doc-MS-Pl",,,,,,,
"Audio-Visual","Documents","Management System","Policy","AV-Doc-MS-Po",,,,,,,
"Audio-Visual","Documents","Management System","Procedure","AV-Doc-MS-Pr",,,,,,,
"Audio-Visual","Documents","Management System","Guideline","AV-Doc-MS-Gu",,,,,,,
"Audio-Visual","Documents","Management System","Work Instruction","AV-Doc-MS-WI",,,,,,,
"Audio-Visual","Documents","Management System","Form","AV-Doc-MS-Fo",,,,,,,
"Audio-Visual","Documents","Management System","Template","AV-Doc-MS-Te",,,,,,,
