qudt_uri,bsdd_code,source
http://qudt.org/vocab/unit/MegaPSI,,
http://qudt.org/vocab/unit/MegaSEC,,
http://qudt.org/vocab/unit/MegaTOE,,
http://qudt.org/vocab/unit/MegaV,MV,bsdd-api
http://qudt.org/vocab/unit/MegaVA,,
http://qudt.org/vocab/unit/MegaVA-HR,,
http://qudt.org/vocab/unit/MegaVAR,,
http://qudt.org/vocab/unit/MegaVAR-HR,,
http://qudt.org/vocab/unit/MegaW,MW,bsdd-api
http://qudt.org/vocab/unit/MegaW-HR,MWh,bsdd-api
http://qudt.org/vocab/unit/MegaYR,,
http://qudt.org/vocab/unit/MicroA,µA,bsdd-api
http://qudt.org/vocab/unit/MicroATM,,
http://qudt.org/vocab/unit/MicroBAR,,
http://qudt.org/vocab/unit/MicroGM-PER-DeciL,,
http://qudt.org/vocab/unit/MicroGM-PER-L,,
http://qudt.org/vocab/unit/MicroGM-PER-M3,µg/m³,bsdd-api
http://qudt.org/vocab/unit/MicroGM-PER-MilliL,,
http://qudt.org/vocab/unit/MicroH-PER-KiloOHM,,
http://qudt.org/vocab/unit/MicroH-PER-OHM,,
http://qudt.org/vocab/unit/MicroIN,,
http://qudt.org/vocab/unit/MicroJ,,
http://qudt.org/vocab/unit/MicroJ-PER-SEC,,
http://qudt.org/vocab/unit/MicroL,,
http://qudt.org/vocab/unit/MicroM,µm,bsdd-api
http://qudt.org/vocab/unit/MicroM-PER-MIN,,
http://qudt.org/vocab/unit/MicroM-PER-SEC,,
http://qudt.org/vocab/unit/MicroM3,,
http://qudt.org/vocab/unit/MicroN-M,,
http://qudt.org/vocab/unit/MicroPA,,
http://qudt.org/vocab/unit/MicroRAD,,
http://qudt.org/vocab/unit/MicroSEC,µs,bsdd-api
http://qudt.org/vocab/unit/MicroTORR,,
http://qudt.org/vocab/unit/MicroV,,
http://qudt.org/vocab/unit/MicroVA,,
http://qudt.org/vocab/unit/MicroVAR,,
http://qudt.org/vocab/unit/MicroW,,
http://qudt.org/vocab/unit/MilLength,,
http://qudt.org/vocab/unit/MilliA,mA,bsdd-api
http://qudt.org/vocab/unit/MilliARCSEC,,
http://qudt.org/vocab/unit/MilliBAR,mbar,bsdd-api
http://qudt.org/vocab/unit/MilliBAR-L-PER-SEC,,
http://qudt.org/vocab/unit/MilliBAR-M3-PER-SEC,,
http://qudt.org/vocab/unit/MilliBAR-PER-BAR,,
http://qudt.org/vocab/unit/MilliBAR_A,,
http://qudt.org/vocab/unit/MilliDEG_C,,
http://qudt.org/vocab/unit/MilliGM-PER-DeciL,,
http://qudt.org/vocab/unit/MilliGM-PER-L,mg/l,bsdd-api
http://qudt.org/vocab/unit/MilliGM-PER-M3,mg/m³,bsdd-api
http://qudt.org/vocab/unit/MilliGM-PER-MilliL,,
http://qudt.org/vocab/unit/MilliH-PER-KiloOHM,,
http://qudt.org/vocab/unit/MilliH-PER-OHM,,
http://qudt.org/vocab/unit/MilliHZ,,
http://qudt.org/vocab/unit/MilliIN,,
http://qudt.org/vocab/unit/MilliJ,,
http://qudt.org/vocab/unit/MilliJ-PER-SEC,,
http://qudt.org/vocab/unit/MilliK,,
http://qudt.org/vocab/unit/MilliL,ml,bsdd-api
http://qudt.org/vocab/unit/MilliL-PER-DAY,,
http://qudt.org/vocab/unit/MilliL-PER-HR,,
http://qudt.org/vocab/unit/MilliL-PER-MIN,,
http://qudt.org/vocab/unit/MilliL-PER-SEC,mL/s,bsdd-api
http://qudt.org/vocab/unit/MilliM,mm,bsdd-api
http://qudt.org/vocab/unit/MilliM3,mm³,bsdd-api
http://qudt.org/vocab/unit/MilliM_H2O,,
http://qudt.org/vocab/unit/MilliM_HG,mmHg,bsdd-api
http://qudt.org/vocab/unit/MilliM_HGA,,
http://qudt.org/vocab/unit/MilliN-M,,
http://qudt.org/vocab/unit/MilliPA,,
http://qudt.org/vocab/unit/MilliPA-SEC-PER-BAR,,
http://qudt.org/vocab/unit/MilliRAD,,
http://qudt.org/vocab/unit/MilliSEC,ms,bsdd-api
http://qudt.org/vocab/unit/MilliTORR,,
http://qudt.org/vocab/unit/MilliV,mV,bsdd-api
http://qudt.org/vocab/unit/MilliVA,,
http://qudt.org/vocab/unit/MilliVAR,,
http://qudt.org/vocab/unit/MilliW,mW,bsdd-api
http://qudt.org/vocab/unit/N-CentiM,,
http://qudt.org/vocab/unit/N-M,Nm,bsdd-api
http://qudt.org/vocab/unit/N-PER-CentiM2,,
http://qudt.org/vocab/unit/N-PER-M2,N/m²,bsdd-api
http://qudt.org/vocab/unit/N-PER-MilliM2,N/mm²,bsdd-api
http://qudt.org/vocab/unit/NP,,
http://qudt.org/vocab/unit/NUM,,
http://qudt.org/vocab/unit/NUM-PER-HR,,
http://qudt.org/vocab/unit/NUM-PER-SEC,,
http://qudt.org/vocab/unit/NUM-PER-YR,,
http://qudt.org/vocab/unit/NanoA,,
http://qudt.org/vocab/unit/NanoGM-PER-DeciL,,
http://qudt.org/vocab/unit/NanoGM-PER-L,,
http://qudt.org/vocab/unit/NanoGM-PER-M3,,
http://qudt.org/vocab/unit/NanoGM-PER-MicroL,,
http://qudt.org/vocab/unit/NanoGM-PER-MilliL,,
http://qudt.org/vocab/unit/NanoJ,,
http://qudt.org/vocab/unit/NanoJ-PER-SEC,,
http://qudt.org/vocab/unit/NanoL,,
http://qudt.org/vocab/unit/NanoM,,
http://qudt.org/vocab/unit/NanoSEC,,
http://qudt.org/vocab/unit/NanoV,,
http://qudt.org/vocab/unit/NanoVA,,
http://qudt.org/vocab/unit/NanoVAR,,
http://qudt.org/vocab/unit/NanoW,,
http://qudt.org/vocab/unit/OCT,,
http://qudt.org/vocab/unit/OKTA,,
http://qudt.org/vocab/unit/ONE-PER-ONE,,
http://qudt.org/vocab/unit/OZ-PER-GAL_IMP,,
http://qudt.org/vocab/unit/OZ-PER-GAL_UK,,
http://qudt.org/vocab/unit/OZ-PER-GAL_US,,
http://qudt.org/vocab/unit/OZ-PER-IN3,,
http://qudt.org/vocab/unit/OZ-PER-YD3,,
http://qudt.org/vocab/unit/OZ_F-IN,,
http://qudt.org/vocab/unit/OZ_VOL_UK,,
http://qudt.org/vocab/unit/OZ_VOL_UK-PER-DAY,,
http://qudt.org/vocab/unit/OZ_VOL_UK-PER-HR,,
http://qudt.org/vocab/unit/OZ_VOL_UK-PER-MIN,,
http://qudt.org/vocab/unit/OZ_VOL_UK-PER-SEC,,
http://qudt.org/vocab/unit/OZ_VOL_US-PER-DAY,,
http://qudt.org/vocab/unit/OZ_VOL_US-PER-HR,,
http://qudt.org/vocab/unit/OZ_VOL_US-PER-MIN,,
http://qudt.org/vocab/unit/OZ_VOL_US-PER-SEC,,
http://qudt.org/vocab/unit/PA,Pa,bsdd-api
http://qudt.org/vocab/unit/PA-L-PER-SEC,,
http://qudt.org/vocab/unit/PA-M3-PER-SEC,,
http://qudt.org/vocab/unit/PA-PER-BAR,,
http://qudt.org/vocab/unit/PA-SEC-PER-BAR,,
http://qudt.org/vocab/unit/PARSEC,,
http://qudt.org/vocab/unit/PCA,,
http://qudt.org/vocab/unit/PDL-FT,,
http://qudt.org/vocab/unit/PDL-IN,,
http://qudt.org/vocab/unit/PDL-PER-FT2,,
